brand,model,flavor,puff_count,nicotine_strength,battery_capacity,coil_type
Raz,DC25000,N/A,25000,5%,800mAh,Integrated Mesh Coil
FOOM,Amanita Muscaria Gummies,"Watermelon Crush, Berry Fusion, Strawberry Dream, Tropical Tango",N/A,N/A,N/A,N/A
Fire Bar,Smell Proof Max Duffle Bag,N/A,N/A,N/A,N/A,N/A
Geek Bar,Pulse,N/A,"Up to 15,000",5% (50mg),650mAh,Built-In Dual Mesh Coil
KUMI,Six Vape,"Blue Razz, Cool Mint, Sour Wave, Mystery Ice, Menthol, Strawberry Watermelon, Blue Razz Ice, Strawberry Fanta, Watermelon Ice, Banana Ice, Triple Berry, Sour Bubble Gum",10000,5%,600mAh,N/A
